biome * ffffff ffffff ffffff
biome 0 ffffff 7cbd6b 5bab46
biome 1 ffffff 91bd59 77ab2f
biome 2 ffffff bfb755 aea42a
biome 3 ffffff 8ab689 6da36b
biome 4 ffffff 79c05a 59ae30
biome 5 ffffff 86b783 68a464
biome 6 e0ffae 6a7039 6a7039
biome 7 ffffff 8eb971 71a74d
biome 8 ffffff bfb755 aea42a
biome 9 ffffff 8eb971 71a74d
biome 10 ffffff 80b497 60a17b
biome 11 ffffff 80b497 60a17b
biome 12 ffffff 80b497 60a17b
biome 13 ffffff 80b497 60a17b
biome 14 ffffff 55c93f 2bbb0f
biome 15 ffffff 55c93f 2bbb0f
biome 16 ffffff 91bd59 77ab2f
biome 17 ffffff bfb755 aea42a
biome 18 ffffff 79c05a 59ae30
biome 19 ffffff 86b783 68a464
biome 20 ffffff 8ab689 6da36b
biome 21 ffffff 59c93c 30bb0b
biome 22 ffffff 59c93c 30bb0b
biome 23 ffffff 64c73f 3eb80f
biome 24 ffffff 7cbd6b 5bab46
biome 25 ffffff 8ab689 6da36b
biome 26 ffffff 83b593 64a278
biome 27 ffffff 88bb66 6ba940
biome 28 ffffff 88bb66 6ba940
biome 29 ffffff 507a32 59ae30
biome 30 ffffff 80b497 60a17b
biome 31 ffffff 80b497 60a17b
biome 32 ffffff 86b87f 68a55f
biome 33 ffffff 86b87f 68a55f
biome 34 ffffff 8ab689 6da36b
biome 35 ffffff bfb755 aea42a
biome 36 ffffff bfb755 aea42a
biome 37 ffffff 90814d 9e814d
biome 38 ffffff 90814d 9e814d
biome 39 ffffff 90814d 9e814d
biome 40 ffffff 73c158 50b02f
biome 41 ffffff 80b497 60a17b
biome 42 ffffff 70c15b 4cb031
biome 43 ffffff 47cd33 1abf00
biome 44 24b01c 59c93c 30bb0b
biome 45 ffffff bfb755 aea42a
biome 46 ffffff bfb755 aea42a
biome 47 ffffff 80b497 60a17b
biome 48 ffffff 8ab978 6da655
biome 49 ffffff 47cd33 1abf00
biome 50 ffffff 47cd33 1abf00
biome 51 ffffff 47cd33 1abf00
biome 52 ffffff bfb755 aea42a
biome 53 ffffff 8ab978 6da655
biome 54 ffffff 80b497 60a17b
biome 55 ffffff 80b497 60a17b
biome 56 ffffff 7abe62 59ad3b
biome 57 ffffff 80b497 60a17b
biome 58 f08000 bfb755 aea42a
biome 59 ffffff 47cd33 1abf00
biome 60 ffffff 80b497 60a17b
biome 61 ffffff b2b952 9fa726
biome 62 ffffff 88b977 6aa755
biome 63 ffffff 59c93c 30bb0b
biome 64 ffffff 61c64b 3bb61e
biome 65 ffffff 88b977 6aa755
biome 66 ffffff 80b497 60a17b
biome 67 ffffff 79c05a 59ae30
biome 68 ffffff 8eb971 71a74d
biome 69 ffffff 79c05a 59ae30
biome 70 ffffff 88b977 6aa755
biome 71 ffffff 72c250 4eb224
biome 72 e0ffae 5c694e 496137
biome 73 ffffff 7cbd6b 5bab46
biome 74 ffffff 84b68d 65a371
biome 75 ffffff 80b497 60a17b
biome 76 ffffff 91bd59 77ab2f
biome 77 ffffff b9b75b a6a432
biome 78 ffffff 7cbd6b 5bab46
biome 79 ffffff 61c64b 3bb61e
biome 80 ffffff 554114 e94e14
biome 81 ffffff 90b682 74a362
biome 82 ffffff 4b6754 3b5e3f
biome 83 ffffff 8eb93f 71a73f
biome 84 6c2c2c 572e23 64260f
biome 85 ffffff 90b682 74a362
biome 86 ffffff 79c05a 59ae30
biome 87 22ffbb 5ac065 30ae3c
biome 88 22ffbb 5ac065 30ae3c
biome 89 00ffff 78bf59 59ae30
biome 90 ffffff 80b497 60a17b
biome 91 ffffff 8eb971 71a74d
biome 92 cc0066 81bb75 60a952
biome 93 993333 81bb75 60a952
biome 94 ffffff 81bb75 60a952
biome 95 ffffff 80b497 60a17b
biome 96 ffffff 47cd33 1abf00
biome 97 ffffff 47cd33 1abf00
biome 98 ffffff 80b497 60a17b
biome 99 ffffff 47cd33 1abf00
biome 100 00ffff 78ee59 71a74d
biome 101 00ffff 78ee59 71a74d
biome 102 00ffff 78ee59 71a74d
biome 103 00ffff 78ee59 71a74d
biome 104 00ffff 78ee59 71a74d
biome 105 00ffff 78ee59 71a74d
biome 106 00ffff 78ee59 71a74d
biome 107 ffffff 78ff85 71a74d
biome 108 00ffff 78ee59 71a74d
biome 109 00ffff 78ee59 71a74d
biome 110 00ffff 78ee59 71a74d
biome 111 00ffff 78ee59 71a74d
biome 112 ffffff a7ced6 84b47d
biome 113 ffffff 47cd33 1abf00
biome 114 ffffff 47cd33 1abf00
biome 115 001a13 84b883 65a563
biome 116 ffffff 84b883 65a563
biome 117 990000 81bb75 60a952
biome 118 99ff66 81bb75 60a952
biome 119 99ff66 81bb75 60a952
biome 120 ffffff 47cd33 1abf00
biome 121 ffffff 47cd33 1abf00
biome 122 ffffff 8eb971 71a74d
biome 123 ffffff 81bb75 60a952
biome 124 ffffff 81bb75 60a952
biome 125 191919 80b497 60a17b
biome 126 ffffff 8eb971 71a74d
biome 127 ffffff bfb755 aea42a
biome 128 ffffff 80b497 60a17b
biome 129 ffffff 91bd59 77ab2f
biome 130 ffffff bfb755 aea42a
biome 131 ffffff 8ab689 6da36b
biome 132 ffffff 79c05a 59ae30
biome 133 ffffff 86b783 68a464
biome 134 e0ffae 6a7039 6a7039
biome 135 19d119 7cbd6b 5bab46
biome 136 ffffff 7cbd6b 5bab46
biome 137 ffffff 84b883 65a563
biome 138 ffffff 7cbd6b 5bab46
biome 139 33cc33 80b497 60a17b
biome 140 ffffff 80b497 60a17b
biome 141 ffffff a0b676 87a353
biome 142 ffffff 47cd33 1abf00
biome 143 ffffff bfb755 aea42a
biome 144 ffffff cd8988 e94e77
biome 145 ffffff 47cd33 1abf00
biome 146 ffffff 80b497 60a17b
biome 147 ffffff 80b497 60a17b
biome 148 ffffff 81bb75 60a952
biome 149 ffffff 59c93c 30bb0b
biome 150 ffffff 81bb75 60a952
biome 151 ffffff 64c73f 3eb80f
biome 152 ffffff 80b497 60a17b
biome 153 ffffff 80b497 60a17b
biome 154 19d119 7cbd6b 5bab46
biome 155 ffffff 88bb66 6ba940
biome 156 ffffff 88bb66 6ba940
biome 157 ffffff 507a32 59ae30
biome 158 ffffff 80b497 60a17b
biome 159 19d119 7cbd6b 5bab46
biome 160 ffffff 86b783 68a464
biome 161 ffffff 86b783 68a464
biome 162 ffffff 8ab689 6da36b
biome 163 ffffff bfb755 aea42a
biome 164 ffffff bfb755 aea42a
biome 165 ffffff 90814d 9e814d
biome 166 ffffff 90814d 9e814d
biome 167 ffffff 90814d 9e814d
biome 168 ffffff 7cbd6b 5bab46
biome 169 ffffff 7cbd6b 5bab46
biome 170 ffffff 7cbd6b 5bab46
biome 171 ffffff 7cbd6b 5bab46
biome 172 ffffff 7cbd6b 5bab46
biome 175 ffffff bfb755 aea42a
biome 176 ffffff bfb755 aea42a
biome 177 ffffff bfb755 aea42a
biome 178 ffffff bfb755 aea42a
biome 179 ffffff bfb755 aea42a
biome 180 ffffff bfb755 aea42a
biome 181 ffffff bfb755 aea42a
biome 182 ffffff bfb755 aea42a
biome 192 cc1188 6d4189 7c6d87
biome 193 0077ee 55ff81 66ffc5
biome 194 2e535f 404840 405340
biome 195 ffffff 8eb971 71a74d
blocktype * * normal
blocktype 2 * grass
blocktype 8 * water
blocktype 9 * water
blocktype 18 * leaves
blocktype 18 1 opaque
blocktype 18 2 opaque
blocktype 31 * grass
blocktype 106 * foliage
blocktype 169 * grass
blocktype 1920 * grass
blocktype 1923 * opaque
blocktype 1924 * opaque
blocktype 1925 * foliage
blocktype 1926 * opaque
blocktype 1932 * foliage
blocktype 1962 * leaves
blocktype 2164 * leaves
blocktype 2177 * leaves
blocktype 2200 * opaque
blocktype 2204 * leaves
blocktype 3257 * opaque
blocktype 3258 * opaque
blocktype 3259 * leaves
blocktype 3272 * opaque
blocktype 3278 * opaque
block * * 00000000
block 1 * ff7d7d7d
block 2 * ff939393
block 3 * ff866043
block 3 2 ff5a3f1c
block 4 * ff7a7a7a
block 5 * ff9c7f4e
block 5 1 ff674d2e
block 5 2 ffc3b37b
block 5 3 ff9a6e4d
block 5 4 ffa95b33
block 5 5 ff3d2712
block 6 * 6438561c
block 6 0 6b476625
block 6 1 53333a21
block 6 2 6b769654
block 6 3 55305612
block 6 4 4b727314
block 6 8 6b476625
block 6 9 53333a21
block 6 10 6b769654
block 6 11 55305612
block 6 12 4b727314
block 7 * ff535353
block 8 * b22e43f4
block 9 * b22e43f4
block 10 * ffd2530e
block 11 * ffd2530e
block 12 * ffdbd3a0
block 12 1 ffa95821
block 13 * ff7e7c7a
block 14 * ff8f8b7c
block 15 * ff87827e
block 16 * ff737373
block 17 * ff665131
block 17 0 ff9a7d4d
block 17 1 ff685130
block 17 2 ffb8a679
block 17 3 ff997649
block 17 5 ff2d1c0c
block 17 6 ffcecec9
block 17 7 ff57431a
block 17 9 ff2d1c0c
block 17 10 ffcecec9
block 17 11 ff57431a
block 17 13 ff2d1c0c
block 17 14 ffcecec9
block 17 15 ff57431a
block 18 * ff878787
block 18 1 ff2c452c
block 18 2 ff43582d
block 18 3 ff918e86
block 18 5 ff747474
block 18 7 ff918e86
block 18 9 ff747474
block 18 11 ff918e86
block 18 13 ff747474
block 18 15 ff918e86
block 19 * ffc2c354
block 20 * 46daf0f4
block 21 * ff667086
block 22 * ff264389
block 23 * ff606060
block 23 1 ff565656
block 23 9 ff565656
block 24 * ffdad29e
block 25 * ff644332
block 26 * ff8e1616
block 26 8 ffaf7474
block 26 9 ffaf7474
block 26 10 ffaf7474
block 26 11 ffaf7474
block 26 12 ffaf7474
block 26 13 ffaf7474
block 26 14 ffaf7474
block 26 15 ffaf7474
block 27 * ab846c48
block 27 8 ab9a6846
block 27 9 ab9a6846
block 27 10 ab9a6846
block 27 11 ab9a6846
block 27 12 ab9a6846
block 27 13 ab9a6846
block 27 14 ab9a6846
block 27 15 ab9a6846
